Date,Adj Close
8/19/2012,2.25E-02
8/26/2012,-1.10E-02
9/2/2012,8.51E-03
9/9/2012,4.22E-03
9/16/2012,8.40E-03
9/23/2012,-6.41E-04
9/30/2012,-4.59E-02
10/7/2012,3.02E-03
10/14/2012,-2.18E-02
10/21/2012,-1.92E-02
10/28/2012,-1.50E-02
11/4/2012,4.57E-02
11/11/2012,-2.27E-02
11/18/2012,-7.26E-02
11/25/2012,4.45E-02
12/2/2012,-3.90E-02
12/9/2012,-6.01E-03
12/16/2012,1.32E-02
12/23/2012,2.39E-02
12/30/2012,-3.28E-02
1/6/2013,7.16E-03
1/13/2013,3.37E-03
1/20/2013,1.57E-02
1/27/2013,2.31E-02
2/3/2013,1.79E-03
2/10/2013,-1.36E-02
2/17/2013,1.67E-02
2/24/2013,-7.20E-04
3/3/2013,6.85E-03
3/10/2013,1.79E-03
3/17/2013,1.43E-03
3/24/2013,7.49E-03
3/31/2013,1.27E-02
4/7/2013,3.15E-03
4/14/2013,3.14E-03
4/21/2013,3.40E-02
4/28/2013,6.79E-02
5/5/2013,5.35E-02
5/12/2013,-2.39E-02
5/19/2013,7.42E-02
5/26/2013,-1.72E-02
6/2/2013,1.84E-02
6/9/2013,2.21E-02
6/16/2013,-3.56E-02
6/23/2013,-3.29E-02
6/30/2013,3.82E-02
7/7/2013,-9.55E-03
7/14/2013,4.27E-02
7/21/2013,-1.20E-01
7/28/2013,7.01E-03
8/4/2013,8.54E-03
8/11/2013,2.54E-02
8/18/2013,-2.07E-02
8/25/2013,9.28E-02
9/1/2013,-3.89E-02
9/8/2013,-6.74E-02
9/15/2013,6.04E-02
9/22/2013,-7.27E-03
9/29/2013,1.46E-02
10/6/2013,1.83E-02
10/13/2013,7.38E-03
10/20/2013,2.43E-02
10/27/2013,2.20E-02
11/3/2013,-5.60E-03
11/10/2013,6.33E-02
11/17/2013,1.59E-03
11/24/2013,3.95E-04
12/1/2013,1.49E-02
12/8/2013,6.03E-03
12/15/2013,-4.35E-02
12/22/2013,3.00E-03
12/29/2013,1.33E-02
1/5/2014,-1.02E-02
1/12/2014,-2.36E-02
1/19/2014,9.43E-03
1/26/2014,1.18E-02
2/2/2014,2.80E-02
2/9/2014,-3.38E-02
2/16/2014,2.90E-02
2/23/2014,1.71E-02
3/2/2014,8.69E-03
3/9/2014,-1.07E-02
3/16/2014,-5.28E-03
3/23/2014,6.53E-02
3/30/2014,3.49E-03
