Date,Close
1/2/1991,1.832
1/3/1991,1.782
1/4/1991,1.743
1/7/1991,1.785
1/8/1991,1.786
1/9/1991,1.728
1/10/1991,1.698
1/11/1991,1.695
1/14/1991,1.728
1/15/1991,1.72
1/16/1991,1.719
1/17/1991,1.621
1/18/1991,1.567
1/21/1991,1.57
1/22/1991,1.538
1/23/1991,1.385
1/24/1991,1.382
1/25/1991,1.399
1/28/1991,1.381
1/29/1991,1.385
1/30/1991,1.38
1/31/1991,1.38
2/1/1991,1.38
2/4/1991,1.368
2/5/1991,1.37
2/6/1991,1.371
2/7/1991,1.38
2/8/1991,1.365
2/11/1991,1.353
2/12/1991,1.348
2/13/1991,1.35
2/14/1991,1.367
2/15/1991,1.385
2/19/1991,1.395
2/20/1991,1.355
2/21/1991,1.334
2/22/1991,1.345
2/25/1991,1.351
2/26/1991,1.355
2/27/1991,1.356
2/28/1991,1.373
3/1/1991,1.361
3/4/1991,1.355
3/5/1991,1.355
3/6/1991,1.356
3/7/1991,1.363
3/8/1991,1.359
3/11/1991,1.362
3/12/1991,1.375
3/13/1991,1.395
3/14/1991,1.381
3/15/1991,1.385
3/18/1991,1.386
3/19/1991,1.391
3/20/1991,1.376
3/21/1991,1.397
3/22/1991,1.385
3/25/1991,1.39
3/26/1991,1.395
3/27/1991,1.395
3/28/1991,1.405
4/1/1991,1.415
4/2/1991,1.42
4/3/1991,1.417
4/4/1991,1.403
4/5/1991,1.4
4/8/1991,1.395
4/9/1991,1.391
4/10/1991,1.376
4/11/1991,1.375
4/12/1991,1.376
4/15/1991,1.382
4/16/1991,1.376
4/17/1991,1.378
4/18/1991,1.375
4/19/1991,1.355
4/22/1991,1.35
4/23/1991,1.39
4/24/1991,1.38
4/25/1991,1.379
4/26/1991,1.367
4/29/1991,1.374
4/30/1991,1.375
5/1/1991,1.376
5/2/1991,1.366
5/3/1991,1.356
5/6/1991,1.357
5/7/1991,1.353
5/8/1991,1.347
5/9/1991,1.352
5/10/1991,1.35
5/13/1991,1.349
5/14/1991,1.349
5/15/1991,1.35
5/16/1991,1.345
5/17/1991,1.343
5/20/1991,1.332
5/21/1991,1.33
5/22/1991,1.336
5/23/1991,1.33
5/24/1991,1.335
5/28/1991,1.331
5/29/1991,1.344
5/30/1991,1.338
5/31/1991,1.333
6/3/1991,1.333
6/4/1991,1.329
6/5/1991,1.315
6/6/1991,1.297
