Date,Price
7/25/2016,657.8
7/26/2016,654.1
7/27/2016,657.3
7/28/2016,657.4
7/29/2016,657
7/30/2016,655.9
7/31/2016,627
8/1/2016,605.2
8/2/2016,537.5
8/3/2016,573.4
8/4/2016,587.5
8/5/2016,583
8/6/2016,591.7
8/7/2016,595.1
8/8/2016,591.5
8/9/2016,586.5
8/10/2016,594.9
8/11/2016,587.9
8/12/2016,587.7
8/13/2016,586.5
8/14/2016,575
8/15/2016,567.8
8/16/2016,579
8/17/2016,574.5
8/18/2016,574.1
8/19/2016,573.7
8/20/2016,581.9
8/21/2016,581.3
8/22/2016,585.2
8/23/2016,582.4
8/24/2016,578.5
8/25/2016,575.6
8/26/2016,579.3
8/27/2016,570.8
8/28/2016,575.4
8/29/2016,573.2
8/30/2016,575
8/31/2016,572.9
9/1/2016,573
9/2/2016,576.2
9/3/2016,600.9
9/4/2016,611.9
9/5/2016,605.7
9/6/2016,613
9/7/2016,615.2
9/8/2016,628
9/9/2016,622.1
9/10/2016,623.7
9/11/2016,607.9
9/12/2016,606.7
9/13/2016,608.6
9/14/2016,608.4
9/15/2016,605.4
9/16/2016,607.9
9/17/2016,607.9
9/18/2016,611.4
9/19/2016,608.6
9/20/2016,605.6
9/21/2016,597
9/22/2016,596.2
9/23/2016,603
9/24/2016,603.7
9/25/2016,601.7
9/26/2016,607.1
9/27/2016,605.7
9/28/2016,605
9/29/2016,606
9/30/2016,609
10/1/2016,615.7
10/2/2016,612.4
10/3/2016,613
10/4/2016,610.3
10/5/2016,613.2
10/6/2016,611.9
10/7/2016,618
10/8/2016,619.5
10/9/2016,617.4
10/10/2016,618.7
10/11/2016,642.1
10/12/2016,635.8
10/13/2016,635.7
10/14/2016,638
10/15/2016,638.2
10/16/2016,641.9
10/17/2016,639.6
10/18/2016,635.1
10/19/2016,629.8
10/20/2016,628
10/21/2016,630.8
10/22/2016,652.8
10/23/2016,651
10/24/2016,650
10/25/2016,654.3
10/26/2016,674
10/27/2016,691.2
10/28/2016,690
10/29/2016,714.3
10/30/2016,697.4
10/31/2016,696.9
11/1/2016,730.7
11/2/2016,744.6
11/3/2016,690
11/4/2016,706.3
11/5/2016,707
11/6/2016,717
11/7/2016,706.4
11/8/2016,711.2
11/9/2016,721
11/10/2016,712.9
11/11/2016,716.9
11/12/2016,704.5
11/13/2016,704
11/14/2016,708.3
11/15/2016,712.3
11/16/2016,739.8
11/17/2016,730.7
11/18/2016,748.5
11/19/2016,750.8
11/20/2016,732
11/21/2016,736.4
11/22/2016,746.7
11/23/2016,741.5
11/24/2016,738
11/25/2016,739.7
11/26/2016,735.7
11/27/2016,729.2
11/28/2016,729.8
11/29/2016,732.4
11/30/2016,742.7
12/1/2016,754
12/2/2016,769.3
12/3/2016,767
12/4/2016,768
12/5/2016,752
12/6/2016,759.8
12/7/2016,764.3
12/8/2016,767.9
12/9/2016,773.2
12/10/2016,775.9
12/11/2016,771
12/12/2016,778.9
12/13/2016,776.2
12/14/2016,777.7
12/15/2016,776.2
12/16/2016,781
12/17/2016,788.6
12/18/2016,790.7
12/19/2016,790.8
12/20/2016,799
12/21/2016,834.5
12/22/2016,856
12/23/2016,917.3
12/24/2016,891.5
12/25/2016,896.1
12/26/2016,902.1
12/27/2016,925.2
12/28/2016,982.2
12/29/2016,970.7
12/30/2016,960.8
12/31/2016,973.4
1/1/2017,993
1/2/2017,1011.5
1/3/2017,1020.7
1/4/2017,1130.3
1/5/2017,1007
1/6/2017,895.7
1/7/2017,909
1/8/2017,923.3
1/9/2017,902.7
1/10/2017,907
1/11/2017,795.8
1/12/2017,812.3
1/13/2017,831.4
1/14/2017,828
1/15/2017,833.3
1/16/2017,834.4
1/17/2017,906
1/18/2017,888
1/19/2017,902.9
1/20/2017,894.3
1/21/2017,925.1
1/22/2017,931.2
1/23/2017,910.7
1/24/2017,887
1/25/2017,896
1/26/2017,917
1/27/2017,922.6
1/28/2017,925
1/29/2017,916.5
1/30/2017,923.2
1/31/2017,970
2/1/2017,992.8
2/2/2017,1008.4
2/3/2017,1018
2/4/2017,1035.5
2/5/2017,1016.3
2/6/2017,1022.6
2/7/2017,1054
2/8/2017,1056.7
2/9/2017,994.2
2/10/2017,1002
2/11/2017,1018.7
2/12/2017,1010
2/13/2017,1002.8
2/14/2017,1013.9
2/15/2017,1014.5
2/16/2017,1038.9
2/17/2017,1057.3
2/18/2017,1062.2
2/19/2017,1059.9
2/20/2017,1089.8
2/21/2017,1128.3
2/22/2017,1128.7
2/23/2017,1186.9
2/24/2017,1186.9
2/25/2017,1158
2/26/2017,1184.9
2/27/2017,1195.8
2/28/2017,1195.1
3/1/2017,1230
3/2/2017,1269.2
3/3/2017,1292.9
3/4/2017,1274
3/5/2017,1279
3/6/2017,1285
3/7/2017,1237.4
3/8/2017,1150.2
3/9/2017,1197.3
3/10/2017,1109
3/11/2017,1188.1
3/12/2017,1235.6
3/13/2017,1245.5
3/14/2017,1247.4
3/15/2017,1263
3/16/2017,1175.1
3/17/2017,1069.6
3/18/2017,970
3/19/2017,1019.5
3/20/2017,1045
3/21/2017,1114.4
3/22/2017,1034.6
3/23/2017,1025.1
3/24/2017,934.9
3/25/2017,963.7
3/26/2017,973.1
3/27/2017,1042.1
3/28/2017,1045.4
3/29/2017,1043.3
3/30/2017,1042.3
3/31/2017,1089
4/1/2017,1092
4/2/2017,1114
4/3/2017,1152.6
4/4/2017,1144
4/5/2017,1133
4/6/2017,1192.3
4/7/2017,1194
4/8/2017,1184.5
4/9/2017,1211
4/10/2017,1210
4/11/2017,1224
4/12/2017,1214.2
4/13/2017,1177.1
4/14/2017,1173.7
4/15/2017,1178.8
4/16/2017,1178
4/17/2017,1189.9
4/18/2017,1201.9
4/19/2017,1214.2
4/20/2017,1236.2
4/21/2017,1250
4/22/2017,1247
