Date,Price
7/17/2016,11.19
7/18/2016,11.03
7/19/2016,11.63
7/20/2016,12.54
7/21/2016,12.66
7/22/2016,14.82
7/23/2016,14.4
7/24/2016,12.63
7/25/2016,13.84
7/26/2016,12.08
7/27/2016,13.05
7/28/2016,12.87
7/29/2016,12.87
7/30/2016,12.57
7/31/2016,11.86
8/1/2016,11.04
8/2/2016,8.3
8/3/2016,10.42
8/4/2016,11.21
8/5/2016,11.05
8/6/2016,10.95
8/7/2016,10.98
8/8/2016,11.29
8/9/2016,12.22
8/10/2016,12.22
8/11/2016,11.68
8/12/2016,11.78
8/13/2016,11.56
8/14/2016,11.21
8/15/2016,11.21
8/16/2016,11.17
8/17/2016,10.77
8/18/2016,10.77
8/19/2016,10.71
8/20/2016,11.28
8/21/2016,11.14
8/22/2016,11.07
8/23/2016,11.01
8/24/2016,11.01
8/25/2016,11.35
8/26/2016,11.26
8/27/2016,11.19
8/28/2016,10.99
8/29/2016,10.95
8/30/2016,11.21
8/31/2016,11.55
9/1/2016,12.21
9/2/2016,12.08
9/3/2016,11.85
9/4/2016,11.71
9/5/2016,11.75
9/6/2016,11.7
9/7/2016,11.59
9/8/2016,11.39
9/9/2016,11.72
9/10/2016,12.05
9/11/2016,11.64
9/12/2016,11.89
9/13/2016,11.92
9/14/2016,11.97
9/15/2016,11.96
9/16/2016,12.61
9/17/2016,12.83
9/18/2016,12.39
9/19/2016,12.93
9/20/2016,14.72
9/21/2016,13.72
9/22/2016,13.11
9/23/2016,13.36
9/24/2016,12.91
9/25/2016,13.05
9/26/2016,12.89
9/27/2016,13.09
9/28/2016,13.3
9/29/2016,13.17
9/30/2016,13.24
10/1/2016,13.21
10/2/2016,13.23
10/3/2016,13.45
10/4/2016,13.32
10/5/2016,13.09
10/6/2016,12.87
10/7/2016,12.68
10/8/2016,12.24
10/9/2016,12.06
10/10/2016,11.74
10/11/2016,11.75
10/12/2016,11.77
10/13/2016,12.02
10/14/2016,11.9
10/15/2016,11.96
10/16/2016,11.93
10/17/2016,11.98
10/18/2016,12.5
10/19/2016,11.98
10/20/2016,12.05
10/21/2016,12.07
10/22/2016,12.06
10/23/2016,11.95
10/24/2016,11.93
10/25/2016,11.38
10/26/2016,11.5
10/27/2016,11.43
10/28/2016,11.08
10/29/2016,10.39
10/30/2016,11.22
10/31/2016,10.91
11/1/2016,10.75
11/2/2016,10.82
11/3/2016,10.86
11/4/2016,11.13
11/5/2016,11.11
11/6/2016,10.97
11/7/2016,10.9
11/8/2016,10.86
11/9/2016,10.64
11/10/2016,10.52
11/11/2016,10.29
11/12/2016,9.96
11/13/2016,10.13
11/14/2016,10
11/15/2016,10.22
11/16/2016,10.01
11/17/2016,9.95
11/18/2016,9.53
11/19/2016,9.7
11/20/2016,9.57
11/21/2016,9.56
11/22/2016,9.84
11/23/2016,9.78
11/24/2016,9.22
11/25/2016,9.39
11/26/2016,9.34
11/27/2016,8.91
11/28/2016,8.66
11/29/2016,8.18
11/30/2016,8.59
12/1/2016,8.44
12/2/2016,7.65
12/3/2016,7.9
12/4/2016,7.54
12/5/2016,6.69
12/6/2016,7.61
12/7/2016,8.35
12/8/2016,8.3
12/9/2016,8.52
12/10/2016,8.09
12/11/2016,8.2
12/12/2016,8.45
12/13/2016,8.4
12/14/2016,8.23
12/15/2016,7.76
12/16/2016,7.85
12/17/2016,7.66
12/18/2016,7.89
12/19/2016,7.61
12/20/2016,7.59
12/21/2016,7.87
12/22/2016,7.64
12/23/2016,7.16
12/24/2016,7.23
12/25/2016,7.19
12/26/2016,7.21
12/27/2016,7.15
12/28/2016,7.57
12/29/2016,8.21
12/30/2016,8.16
12/31/2016,8.05
1/1/2017,8.14
1/2/2017,8.33
1/3/2017,9.59
1/4/2017,10.88
1/5/2017,10.2
1/6/2017,10.07
1/7/2017,9.78
1/8/2017,10.27
1/9/2017,10.2
1/10/2017,10.55
1/11/2017,9.83
1/12/2017,9.81
1/13/2017,9.78
1/14/2017,9.78
1/15/2017,9.88
1/16/2017,9.59
1/17/2017,10.14
1/18/2017,10.19
1/19/2017,10.43
1/20/2017,10.6
1/21/2017,10.91
1/22/2017,10.71
1/23/2017,10.78
1/24/2017,10.51
1/25/2017,10.51
1/26/2017,10.65
1/27/2017,10.51
1/28/2017,10.54
1/29/2017,10.47
1/30/2017,10.62
1/31/2017,10.71
2/1/2017,10.71
2/2/2017,10.78
2/3/2017,10.95
2/4/2017,11.32
2/5/2017,11.22
2/6/2017,11.32
2/7/2017,11.45
2/8/2017,11.39
2/9/2017,10.94
2/10/2017,11.34
2/11/2017,11.43
2/12/2017,11.42
2/13/2017,11.39
2/14/2017,13
2/15/2017,12.97
2/16/2017,12.95
2/17/2017,12.72
2/18/2017,12.83
2/19/2017,12.82
2/20/2017,12.52
2/21/2017,12.77
2/22/2017,12.69
2/23/2017,13.13
2/24/2017,13.11
2/25/2017,13.57
2/26/2017,14.59
2/27/2017,15.55
2/28/2017,16.07
3/1/2017,17.55
3/2/2017,19.08
3/3/2017,19.48
3/4/2017,18.61
3/5/2017,19.22
3/6/2017,19.75
3/7/2017,18.91
3/8/2017,16.54
3/9/2017,17.71
3/10/2017,19.13
3/11/2017,21.45
3/12/2017,23.31
