date,AAPL
11/26/2010,1.42E-02
11/29/2010,1.78E-02
11/30/2010,-2.73E-03
12/1/2010,1.38E-02
12/2/2010,1.88E-02
12/3/2010,1.65E-02
12/6/2010,2.52E-02
12/7/2010,1.87E-02
12/8/2010,2.73E-02
12/9/2010,2.28E-02
12/10/2010,2.48E-02
12/13/2010,2.62E-02
12/14/2010,1.93E-02
12/15/2010,1.63E-02
12/16/2010,1.58E-02
12/17/2010,1.16E-02
12/20/2010,1.43E-02
12/21/2010,1.91E-02
12/22/2010,1.95E-02
12/23/2010,1.28E-02
12/27/2010,1.48E-02
12/28/2010,1.60E-02
12/29/2010,1.30E-02
12/30/2010,6.46E-03
12/31/2010,2.14E-03
1/3/2011,2.31E-02
1/4/2011,2.68E-02
1/5/2011,3.30E-02
1/6/2011,3.00E-02
1/7/2011,3.50E-02
1/10/2011,5.19E-02
1/11/2011,4.59E-02
1/12/2011,5.08E-02
1/13/2011,5.06E-02
1/14/2011,5.49E-02
1/18/2011,2.67E-02
1/19/2011,1.82E-02
1/20/2011,-2.58E-03
1/21/2011,-2.16E-02
1/24/2011,1.00E-02
1/25/2011,1.98E-02
1/26/2011,2.46E-02
1/27/2011,1.97E-02
1/28/2011,-4.50E-03
1/31/2011,2.93E-03
2/1/2011,1.83E-02
2/2/2011,1.40E-02
2/3/2011,9.79E-03
2/4/2011,1.73E-02
2/7/2011,3.14E-02
2/8/2011,3.96E-02
2/9/2011,4.61E-02
2/10/2011,3.33E-02
2/11/2011,3.87E-02
2/14/2011,4.41E-02
2/15/2011,4.32E-02
2/16/2011,4.92E-02
2/17/2011,3.05E-02
2/18/2011,3.45E-03
2/22/2011,-3.27E-02
2/23/2011,-2.08E-02
2/24/2011,-1.99E-02
2/25/2011,-4.74E-03
2/28/2011,7.87E-03
3/1/2011,-5.33E-03
3/2/2011,2.03E-03
3/3/2011,2.20E-02
3/4/2011,2.08E-02
3/7/2011,5.61E-03
3/8/2011,6.22E-03
3/9/2011,-3.17E-03
3/10/2011,-1.87E-02
3/11/2011,-2.51E-03
3/14/2011,2.66E-03
3/15/2011,-1.96E-02
3/16/2011,-6.13E-02
3/17/2011,-4.34E-02
3/18/2011,-5.14E-02
3/21/2011,-2.37E-02
3/22/2011,-1.83E-02
3/23/2011,-2.39E-02
3/24/2011,-6.70E-03
3/25/2011,1.27E-02
3/28/2011,9.80E-03
3/29/2011,1.11E-02
3/30/2011,4.59E-03
3/31/2011,5.91E-03
4/1/2011,-3.75E-03
4/4/2011,-1.19E-02
4/5/2011,-1.64E-02
4/6/2011,-1.68E-02
4/7/2011,-1.54E-02
4/8/2011,-2.21E-02
4/11/2011,-3.18E-02
4/12/2011,-2.49E-02
4/13/2011,-1.43E-02
4/14/2011,-2.54E-02
4/15/2011,-4.02E-02
