date,EBAY,YHOO
11/4/2010,30.15,16.2
11/5/2010,30.87,16.27
11/8/2010,30.84,16.44
11/9/2010,30.53,16.97
11/10/2010,30.93,16.94
11/11/2010,30.79,16.8
11/12/2010,30.14,16.55
11/15/2010,30.06,16.6
11/16/2010,29.77,16.24
11/17/2010,30.14,16.15
11/18/2010,30.57,16.99
11/19/2010,30.3,16.57
11/22/2010,30.64,16.56
11/23/2010,30.18,16.19
11/24/2010,31.21,16.41
11/26/2010,31.15,16.22
11/29/2010,30.23,16.38
11/30/2010,29.14,15.82
12/1/2010,29.26,16.15
12/2/2010,29.91,16.33
12/3/2010,29.61,16.35
12/6/2010,29.49,16.33
12/7/2010,30,16.94
12/8/2010,30.15,17.02
12/9/2010,30.35,16.95
12/10/2010,30.69,17.01
12/13/2010,30.28,16.7
12/14/2010,30.75,16.63
12/15/2010,30.19,16.45
12/16/2010,30.53,16.51
12/17/2010,29.82,16.38
12/20/2010,29.58,16.28
12/21/2010,28.65,16.6
12/22/2010,28.57,16.63
12/23/2010,28.32,16.72
12/27/2010,28.31,16.48
12/28/2010,28.35,16.43
12/29/2010,28.36,16.61
12/30/2010,28.13,16.76
12/31/2010,27.83,16.63
1/3/2011,28.68,16.75
1/4/2011,28.47,16.59
1/5/2011,28.73,16.91
1/6/2011,28.42,17.06
1/7/2011,27.7,16.9
1/10/2011,28.26,16.6
1/11/2011,28.36,16.58
1/12/2011,28.83,16.65
1/13/2011,28.71,16.75
1/14/2011,29.18,16.81
1/18/2011,29.45,16.5
1/19/2011,29.1,16.31
1/20/2011,30.78,16.23
1/21/2011,30.02,15.97
1/24/2011,30.51,16.09
1/25/2011,30.91,16.02
1/26/2011,31.06,15.57
1/27/2011,30.96,16.2
1/28/2011,30.31,15.83
1/31/2011,30.36,16.12
2/1/2011,31.64,16.38
2/2/2011,31.88,16.57
2/3/2011,32.05,16.69
2/4/2011,32.21,16.79
2/7/2011,32.24,16.8
2/8/2011,32.64,16.6
2/9/2011,31.95,16.43
2/10/2011,34.49,16.62
